h,m_b,W
20,10,90556.11106422632
20,15,84162.54094379264
20,20,88804.7043571745
20,25,88231.79847956232
20,30,86224.85265627668
20,35,90022.18619795
20,40,88809.18388406083
20,45,97510.76580728001
20,50,94310.96882919592
20,55,91007.3280269205
21,0,88758.91309253352
21,5,87764.46437182552
21,10,89115.30934895665
21,15,86235.81867609461
21,20,90589.43143228335
21,25,85458.43356753694
21,30,88069.9306870842
21,35,85856.50851562667
21,40,87198.20934899
21,45,87112.5728640774
21,50,84574.69123411863
21,55,86467.02356826779
22,0,85000.44549538125
22,5,87055.36363635692
22,10,82424.63635417333
22,15,84684.1783504765
22,20,84554.62613111448
22,25,82623.87657297651
22,30,83305.77539063002
22,35,82591.93159488628
22,40,81776.90919608419
22,45,84619.80014111368
22,50,86405.30932205085
22,55,79673.6121744875
23,0,84368.85916458922
23,5,84123.56093746335
23,10,85185.69916666667
23,15,84633.54682239055
23,20,83926.04130210663
23,25,82227.33757388852
23,30,88630.85819919729
23,35,83381.59338540999
23,40,86797.62567932441
23,45,82562.39512711867
23,50,85505.24544270667
23,55,86982.89295560085
0,0,84632.73227573134
0,5,85655.1946354333
0,10,86841.07020797992
0,15,85478.08260800669
0,20,84728.9760921873
0,25,80941.03287544294
0,30,80967.53963539997
0,35,76672.57253344147
0,40,80289.85823628135
0,45,79269.4884123188
0,50,81878.66515990972
0,55,80597.10771980931
1,0,84323.50002610369
1,5,83570.94039061667
1,10,81224.69515413513
1,15,80048.76484112706
1,20,77424.91871342804
1,25,75171.08503603845
1,30,
1,35,
1,40,
1,45,
1,50,
1,55,
2,0,
2,5,
2,10,
2,15,
2,20,
2,25,
2,30,
2,35,
2,40,
2,45,
2,50,
2,55,
3,0,
3,5,
3,10,
3,15,
3,20,
3,25,
3,30,
3,35,
3,40,
3,45,
3,50,
3,55,
4,0,
4,5,
4,10,
4,15,
4,20,
4,25,
4,30,
4,35,
4,40,
4,45,
4,50,114283.39853766668
4,55,112153.01391810497
5,0,113930.14393938046
5,5,110369.50802079338
5,10,113441.8785392349
5,15,109561.3902853311
5,20,130595.69462857912
5,25,135956.82608011074
5,30,138124.11546875
5,35,134515.6242345912
5,40,131351.43049751836
5,45,133973.81695312
5,50,137180.89976563
5,55,130961.78693776987
6,0,136834.2302852349
6,5,135325.55807291667
6,10,139719.44148490267
6,15,131191.5928790135
6,20,133879.88664062
6,25,134374.96170034006
6,30,129572.99046299663
6,35,133276.82736980665
6,40,134629.53419612793
6,45,140279.83729166666
6,50,139155.5309354027
6,55,138954.15200052303
7,0,134102.06703123337
7,5,136574.1772937677
7,10,138215.45962667785
7,15,131345.8150781333
7,20,133485.0745071342
7,25,136994.87999058195
7,30,136022.40817708
7,35,131481.86647728953
7,40,127167.75742183671
7,45,127737.40476695253
7,50,130641.70460936999
7,55,124507.3291666625
8,0,122165.33956567117
8,5,125016.4535706678
8,10,124533.66947919667
8,15,124274.75013107048
8,20,129474.64557992281
8,25,126258.84408852336
8,30,123789.28025381204
8,35,125446.43193094256
8,40,128657.82838540335
8,45,129646.29196278262
8,50,132927.54454448476
8,55,132001.45613233055
9,0,129634.55781250999
9,5,133767.30883129055
9,10,137806.01891722408
9,15,150634.0266513378
9,20,148036.16398358587
9,25,150749.76890625
9,30,150001.39607802013
9,35,152475.62918432202
9,40,150871.60921875
9,45,156653.61354166668
9,50,152987.4595650338
9,55,166958.0291579498
10,0,162598.79114583333
10,5,165127.5658898305
10,10,163018.8941785117
10,15,161577.00078125
10,20,164863.47102754237
10,25,162524.37991220737
10,30,151462.16703125
10,35,154637.00605008416
10,40,157781.24234479867
10,45,155630.08072916666
10,50,154596.40783361485
10,55,150772.18255208334
11,0,154998.81791666665
11,5,155108.18881967905
11,10,155101.6506061873
